date,HY_SPREAD,IG_SPREAD,T10Y,OIL,DXY,KRE,XLF
2005-01-03,3.0600,0.8300,4.2300,42.1200,81.3000,,16.1423
2005-01-04,2.9700,0.8300,4.2900,43.9100,82.5700,,15.9885
2005-01-05,3.0400,0.8400,4.2900,43.3900,82.5400,,15.9619
2005-01-06,3.0900,0.8400,4.2900,45.5600,83.1500,,16.0415
2005-01-07,3.0700,0.8400,4.2900,45.4300,83.6100,,15.9566
2005-01-08,3.0700,0.8400,4.2900,,,,
2005-01-09,3.0700,0.8400,4.2900,,,,
2005-01-10,3.1000,0.8400,4.2900,45.3300,83.2900,,15.9725
2005-01-11,3.1900,0.8400,4.2600,45.6800,83.0200,,15.9035
2005-01-12,3.2000,0.8400,4.2500,46.3700,82.1400,,15.8823
2005-01-13,3.2400,0.8500,4.2000,48.0400,82.5100,,15.7284
2005-01-14,3.2200,0.8500,4.2300,48.3800,83.0600,,15.7815
2005-01-15,3.2200,0.8500,4.2300,,,,
2005-01-16,3.2200,0.8500,4.2300,,,,
2005-01-17,3.2100,0.8400,4.2300,,83.0600,,
2005-01-18,3.2400,0.8400,4.2100,48.3800,83.3600,,16.0309
2005-01-19,3.2400,0.8500,4.2000,47.5500,83.6000,,15.8717
2005-01-20,3.3300,0.8700,4.1700,46.9100,83.8400,,15.7550
2005-01-21,3.3700,0.8700,4.1600,48.5300,83.2600,,15.6754
2005-01-22,3.3700,0.8700,4.1600,,,,
2005-01-23,3.3700,0.8700,4.1600,,,,
2005-01-24,3.3700,0.8600,4.1400,48.8100,83.2400,,15.6807
2005-01-25,3.2900,0.8500,4.2000,49.6400,83.9900,,15.6913
2005-01-26,3.2700,0.8400,4.2100,48.7800,83.3000,,15.7656
2005-01-27,3.2300,0.8400,4.2200,48.8400,83.4300,,15.6860
2005-01-28,3.2700,0.8400,4.1600,47.1800,83.4800,,15.6648
2005-01-29,3.2700,0.8400,4.1600,,,,
2005-01-30,3.2700,0.8400,4.1600,,,,
2005-01-31,3.2900,0.8500,4.1400,48.2000,83.6000,,15.8505
2005-02-01,3.2600,0.8500,4.1500,47.1200,83.4500,,16.0203
2005-02-02,3.2000,0.8400,4.1500,46.6900,83.5200,,16.0203
2005-02-03,3.1500,0.8400,4.1800,46.4500,83.9700,,15.9460
2005-02-04,3.1900,0.8300,4.0900,46.4800,84.3900,,16.1370
2005-02-05,3.1900,0.8300,4.0900,,,,
2005-02-06,3.1900,0.8300,4.0900,,,,
2005-02-07,3.1700,0.8200,4.0700,45.2800,85.0400,,16.1530
2005-02-08,3.1400,0.8200,4.0500,45.4000,85.1000,,16.0893
2005-02-09,3.2200,0.8400,4.0000,45.4600,85.0200,,16.0468
2005-02-10,3.1600,0.8400,4.0700,47.1000,84.5400,,16.0946
2005-02-11,3.1200,0.8400,4.1000,47.1600,84.5700,,16.2219
2005-02-12,3.1200,0.8400,4.1000,,,,
2005-02-13,3.1200,0.8400,4.1000,,,,
2005-02-14,3.1100,0.8300,4.0800,47.4400,83.9600,,16.1954
2005-02-15,3.0600,0.8400,4.1000,47.2600,83.5900,,16.2326
2005-02-16,2.9900,0.8300,4.1600,48.3300,83.6700,,16.1211
2005-02-17,2.9900,0.8300,4.1900,47.5400,83.4700,,15.9778
2005-02-18,2.9300,0.8200,4.2700,48.3500,83.4900,,15.8080
2005-02-19,2.9300,0.8200,4.2700,,,,
2005-02-20,2.9300,0.8200,4.2700,,,,
2005-02-21,2.9300,0.8200,4.2700,,83.5500,,
2005-02-22,2.9200,0.8200,4.2900,51.1500,82.4100,,15.5746
2005-02-23,2.9300,0.8200,4.2700,51.1700,82.6800,,15.7178
2005-02-24,2.8800,0.8100,4.2900,51.3900,82.8800,,15.7391
2005-02-25,2.8500,0.8100,4.2700,51.4900,82.6600,,15.8982
2005-02-26,2.8500,0.8100,4.2700,,,,
2005-02-27,2.8500,0.8100,4.2700,,,,
2005-02-28,2.8300,0.8100,4.3600,51.7500,82.5100,,15.7444
2005-03-01,2.8100,0.8000,4.3800,51.6800,82.7700,,15.8982
2005-03-02,2.8400,0.7900,4.3800,53.0500,83.0800,,15.8505
2005-03-03,2.8300,0.8000,4.3900,53.5700,83.2800,,15.8240
2005-03-04,2.8600,0.7900,4.3200,53.7800,82.5400,,16.0256
2005-03-05,2.8600,0.7900,4.3200,,,,
2005-03-06,2.8600,0.7900,4.3200,,,,
2005-03-07,2.8200,0.7900,4.3100,53.8900,82.7900,,16.0256
2005-03-08,2.7600,0.7900,4.3800,54.5900,81.9800,,15.9991
2005-03-09,2.7100,0.7900,4.5200,54.7700,81.6300,,15.8027
2005-03-10,2.7800,0.7900,4.4800,53.5400,81.5700,,15.8929
2005-03-11,2.7300,0.7900,4.5600,54.4300,81.4200,,15.7550
2005-03-12,2.7300,0.7900,4.5600,,,,
2005-03-13,2.7300,0.7900,4.5600,,,,
2005-03-14,2.7700,0.7900,4.5200,54.9500,81.9700,,15.8399
2005-03-15,2.7700,0.8000,4.5400,55.0500,82.1200,,15.7337
2005-03-16,2.8900,0.8300,4.5200,56.4600,81.6200,,15.5746
2005-03-17,3.0000,0.8400,4.4700,56.4000,81.8400,,15.5321
2005-03-18,2.9800,0.8400,4.5100,56.7200,82.1300,,15.4547
2005-03-19,2.9800,0.8400,4.5100,,,,
2005-03-20,2.9800,0.8400,4.5100,,,,
2005-03-21,3.0800,0.8600,4.5300,56.6200,82.8800,,15.3160
2005-03-22,3.0800,0.8700,4.6300,56.0300,83.3600,,15.0333
2005-03-23,3.1900,0.8800,4.6100,53.8100,84.0000,,15.0653
2005-03-24,3.1800,0.8800,4.6000,54.8400,84.1300,,14.9906
2005-03-25,3.1800,0.8800,4.6000,,,,
2005-03-26,3.1800,0.8800,4.6000,,,,
2005-03-27,3.1800,0.8800,4.6000,,,,
2005-03-28,3.1900,0.8800,4.6400,54.0500,84.6200,,15.0973
2005-03-29,3.2800,0.8900,4.6000,54.2300,84.3200,,15.0440
2005-03-30,3.3800,0.9100,4.5600,53.9900,84.2900,,15.2307
2005-03-31,3.5200,0.9300,4.5000,55.4000,84.0600,,15.1453
